what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469901940895
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469901944662
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.cut",1469901948818
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.paste",1469901952226
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.cut",1469901959356
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.paste",1469901960864
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.save",1469901963741
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469901967062
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469901971295
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.save",1469901975813
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469901977766
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902215888
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1469902217645
started,bundle,org.eclipse.recommenders.injection,2.1.12.v20150212-1812,"org.eclipse.recommenders.injection",1469902239478
started,bundle,org.eclipse.recommenders.rcp,2.1.12.v20150218-0817,"org.eclipse.recommenders.rcp",1469902239571
started,bundle,org.eclipse.recommenders.completion.rcp,2.1.12.v20150213-0747,"org.eclipse.recommenders.completion.rcp",1469902239581
started,bundle,org.eclipse.recommenders.chain.rcp,2.1.12.v20150212-1812,"org.eclipse.recommenders.chain.rcp",1469902239597
started,bundle,org.eclipse.recommenders.models,2.1.12.v20150212-1812,"org.eclipse.recommenders.models",1469902239601
started,bundle,org.eclipse.recommenders.apidocs.rcp,2.1.12.v20150212-1812,"org.eclipse.recommenders.apidocs.rcp",1469902239618
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1469902240122
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1469902240621
started,bundle,org.eclipse.mylyn.java.ui,3.14.2.v20150218-0125,"org.eclipse.mylyn.java.ui",1469902255193
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902261556
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902295732
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.paste",1469902299770
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1469902306206
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902313826
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902314724
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902319531
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902334483
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902358755
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902398839
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1469902436645
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1469902437996
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902438630
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902459721
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.paste",1469902461327
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.cut",1469902466237
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.paste",1469902468495
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1469902504351
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902573025
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902582649
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.copy",1469902620123
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.paste",1469902622619
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902651992
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902665904
started,bundle,org.eclipse.debug.ui,3.10.2.v20141014-1039,"org.eclipse.debug.ui",1469902694334
started,bundle,org.eclipse.jdt.debug,3.8.102.v20150115-1323,"org.eclipse.jdt.debug",1469902694543
started,bundle,org.eclipse.jdt.debug.ui,3.6.300.v20140512-1926,"org.eclipse.jdt.debug.ui",1469902694869
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902696166
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902696203
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902696297
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902698006
started,bundle,org.eclipse.m2e.launching,1.5.1.20150109-1820,"org.eclipse.m2e.launching",1469902698554
opened,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1469902698810
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902724587
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902725736
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902737692
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902738856
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902766412
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902767600
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902777260
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902778490
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902784859
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469902786136
activated,view,org.eclipse.ui.console,3.5.300.v20140424-1437,"org.eclipse.ui.console.ConsoleView",1469902794446
