what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.9.0.v20140411-1521,"org.eclipse.ui.edit.text.showInformation",1469907598710
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907600975
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1469907601001
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907628041
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907628161
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1469907628183
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.undo",1469907633698
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1469907657981
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.file.save",1469907683368
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1469907684436
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907719593
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907740677
activated,view,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.PackageExplorer",1469907740695
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1469907741825
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907745321
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907768471
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907775546
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907781067
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907787376
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907787491
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907789480
activated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907800591
activated,editor,org.eclipse.jdt.ui,3.10.2.v20141014-1419,"org.eclipse.jdt.ui.CompilationUnitEditor",1469907803046
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.undo",1469907806851
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.undo",1469907807311
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.undo",1469907807721
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.undo",1469907808274
executed,command,org.eclipse.ui,3.106.1.v20141002-1150,"org.eclipse.ui.edit.undo",1469907811708
deactivated,workbench,org.eclipse.ui.workbench,3.106.2.v20150204-1030,"",1469907821230
